,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,
station,city,state,6/9,6/16,6/23,6/30,7/7,7/14,7/21,7/28,8/4,8/11,8/18,8/25,comments
EASY,Tuscarawas,OH,received,received,received,received,received,,,,,,,,
Indie 104,Covina,CA,Added,10,15,20,25,,,,,,,,
KACV,Amarillo,TX,received,received,in for review,reviewing,Added,,,,,,,,
KALA,Davenport,IA,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KALW,Sunnyvale,CA,mailed,mailed,received,in for review,reviewing,,,,,,,,
KALX,Berkeley,CA,received,received,in for review,reviewing,reviewing,,,,,,,,Should be finished with review in 2 weeks
KAOS,Olympia,WA,in for review,reviewing,Added,Light,Light,,,,,,,,
KBCS,Bellevue,WA,mailed,received,received,in for review,reviewing,,,,,,,,
KBEACH,Long Beach,CA,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KBGA,Missoula,MT,mailed,received,received,in for review,reviewing,,,,,,,,
KBHI,Cape Girardeau,MO,received,in for review,reviewing,Added,7,,,,,,,,
KBOO,Portland,OR,mailed,received,in for review,reviewing,Added,,,,,,,,
KBPK ,Fullterton,CA,received,reviewing,Added,2,2,,,,,,,,
KBSB,Bemidji,MN,mailed,mailed,received,received,in for review,,,,,,,,
KBUT,Crested Butte,CO,received,received,in for review,reviewing,Added,,,,,,,,
KBVR,Corvallis,OR,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KCFV,St. Louis,MO,mailed,received,in for review,reviewing,Added,,,,,,,,
KCHE,Cherokee ,IA,Added,6,8,8,10,,,,,,,,
KCMP,St Paul,MN,mailed,mailed,received,received,in for review,,,,,,,,
KCOU,Columbia,MO,received,in for review,reviewing,Added,Light,,,,,,,,
KCPR,San Luis Obispo,CA,received,received,in for review,reviewing,Added,,,,,,,,
KCSN,Northridge,CA,mailed,received,received,in for review,reviewing,,,,,,,,
KCSS,Turlock,CA,mailed,mailed,received,received,in for review,,,,,,,,
