,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,
KDHX,St. Louis,MO,reviewing,Added,Library,Library,Library,,,,,,,,Added to music library; available for play
KDNK,Carbondale,CO,mailed,mailed,received,received,in for review,,,,,,,,
KDUR,Durango,CO,mailed,received,received,in for review,reviewing,,,,,,,,
KDVS,Davis,CA,mailed,received,in for review,reviewing,Added,,,,,,,,
KDWG,Dillon,MT,in for review,reviewing,Added,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KEOL,LaGrande,OR,mailed,received,received,in for review,reviewing,,,,,,,,
KEUL,Girdwood,AK,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KFAI,Minneapolis,MN,mailed,received,received,in for review,reviewing,,,,,,,,
KFJC,Los Altos Hills,CA,received,received,in for review,reviewing,Added,,,,,,,,
KFSR,Fresno,CA,mailed,received,received,in for review,reviewing,,,,,,,,
KGFN,El Cajon,CA,received,in for review,reviewing,Added,Light,,,,,,,,
KGLT,Bozeman,MT,mailed,mailed,received,received,in for review,,,,,,,,
KGNU,Boulder,CO,mailed,received,received,in for review,reviewing,,,,,,,,
KHNS,Haines,AK,Added,Light,Light,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KHSU,Arcata,CA,mailed,received,received,in for review,reviewing,,,,,,,,
KJHK,Lawrence,KS,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week
KKCR,Hanalei,HI,mailed,mailed,received,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week
KKRB,Klamath Falls,OR,mailed,received,in for review,reviewing,Added,,,,,,,,
KLCC,Eugene,OR,in for review,reviewing,Added,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KLMJ,Hampton,IA,mailed,received,Added,10,10,,,,,,,,
KLPI,Ruston,LA,received,in for review,reviewing,Added,Light,,,,,,,,
KMNR,Rolla,MO,mailed,received,in for review,reviewing,Added,,,,,,,,
KMSA,Grand Junction,CO,mailed,mailed,received,received,in for review,,,,,,,,
KMSU ,Mankato,MN,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KMUD,Redway,CA,mailed,mailed,received,received,in for review,,,,,,,,
KOPN,Columbia,MO,in for review,reviewing,Added,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KQAD,Luverne,MN,mailed,received,in for review,reviewing,Added,,,,,,,,
KQCR,Hampton,IA,received,in for review,Added,20,20,,,,,,,,
KRCB,Rohnert Park,CA,mailed,received,in for review,reviewing,Added,,,,,,,,
KRCC,Colorado Springs,CO,received,received,reviewing,Added,Light,,,,,,,,
KREZ,Paducah,KY,reviewing,Added,7,7,7,,,,,,,,
KRLX,Northfield,MN,mailed,mailed,received,received,in for review,,,,,,,,
KRUX,Las Cruces,NM,in for review,reviewing,Added,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week 
KSCU,Santa Clara,CA,mailed,mailed,received,received,in for review,,,,,,,,
KSLC,McMinnville,OR,received,in for review,reviewing,Added,Light,,,,,,,,
KSLU,Hammond,LA,mailed,received,in for review,reviewing,Added,,,,,,,,
KSPI,Stillwater,OK,received,received,received,in for review,in for review,,,,,,,,
KTRL,Stephenville,TX,received,in for review,reviewing,Added,Medium,,,,,,,,Medium Rotation: 3-5 spins per week 
KTRN,Pine Bluff,AR,mailed,received,in for review,reviewing,Added,,,,,,,,
KTUH,Honolulu,HI,reviewing,Added,Light,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week
KUFM,Missoula,MT,mailed,mailed,received,received,in for review,,,,,,,,
KUMM,Morris,MN,mailed,received,received,in for review,reviewing,,,,,,,,
KURT,Stephenville,TX,in for review,reviewing,Added,Medium,Medium,,,,,,,,Medium Rotation: 3-5 spins per week 
KVCU,Boulder,CO,mailed,mailed,received,received,in for review,,,,,,,,
KWMR,Point Reyes Station,CA,received,in for review,reviewing,Added,Light,,,,,,,,
KWMU,St. Louis,MO,received,received,reviewing,Added,Light,,,,,,,,
KWVA,Eugene,OR,mailed,received,in for review,reviewing,Added,,,,,,,,
KXUA,Fayetteville,AR,mailed,mailed,received,received,in for review,,,,,,,,
KYEE,Alamagordo,NM,Added,3,3,3,4,,,,,,,,
KYFM,Bartlesville,OK,in for review,reviewing,Added,7,7,,,,,,,,
KYTE,Newport,OR,mailed,received,reviewing,reviewing,Added,,,,,,,,
KZUM,Lincoln,NE,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
Normal 98.6,New Philadelphia,OH,mailed,received,received,received,received,,,,,,,,
Radio Phoenix,Phoenix,AZ,mailed,received,in for review,reviewing,Added,,,,,,,,
WALT,Davidson,NC,received,received,in for review,Added,Library,,,,,,,,Added to music library; available for play
WASU,Boone,NC,mailed,passed,n/a,n/a,n/a,,,,,,,,looking for more alternative rock sound
WAWL,Chattanooga,TN,mailed,received,in for review,reviewing,Added,,,,,,,,
WBAR,New York,NY,mailed,received,in for review,in for review,reviewing,,,,,,,,
WBCX,Gainesville,GA,mailed,received,received,in for review,reviewing,,,,,,,,
WBER,Penfield,NY,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
WBJD,New Bern,NC,mailed,mailed,received,received,in for review,,,,,,,,
WBNT,Oneida,TN,in for review,reviewing,Added,Library,Library,,,,,,,,Added to music library; available for play
WBOR,Brunswick,ME,received,in for review,reviewing,Added,Light,,,,,,,,
WBSD,Burlington,WI,mailed,mailed,received,received,in for review,,,,,,,,
WCBN,Ann Arbor,MI,received,received,in for review,reviewing,Added,,,,,,,,
WCDB,Albany,NY,mailed,received,received,in for review,reviewing,,,,,,,,
WCHG,Dunmore,WV,received,received,in for review,reviewing,Added,,,,,,,,
WCNI,New London,CT,mailed,mailed,Added,Medium,Medium,,,,,,,,"""She has a real nice voice and her songs are very well played"""
WCWM,Williamsburg,VA,received,in for review,reviewing,Added,Light,,,,,,,,
WCYT,Fort Wayne,IN,mailed,received,in for review,reviewing,Added,,,,,,,,
WDCE,Richmond,VA,mailed,mailed,received,received,in for review,,,,,,,,
WDCG,Raleigh,NC,n/a,mailed,mailed,received,received,,,,,,,,submitted to upon request
WDVR,Sergeantsville,NJ,received,in for review,reviewing,Added,Light,,,,,,,,
WECS,Willimantic,CT,received,received,in for review,reviewing,Added,,,,,,,,
WEDB,Swainsboro,GA,mailed,received,reviewing,reviewing,Added,,,,,,,,Added to music library; available for play
WEFT,Champaign,IL,in for review,reviewing,reviewing,Added,Library,,,,,,,,Added to music library; available for play
WERB,Berlin,CT,mailed,received,received,in for review,reviewing,,,,,,,,
WERS,Boston,MA,received,in for review,reviewing,Added,Ligt,,,,,,,,
WERU ,East Orland,ME,received,received,in for review,reviewing,Added,,,,,,,,
WEVL,Memphis,TN,mailed,mailed,received,received,in for review,,,,,,,,
WEVR AM,River Falls,WI,reviewing,Added,6,6,8,,,,,,,,
WEVR-FM,River Falls,WI,reviewing,Added,6,6,8,,,,,,,,
WIDE,Troy,NY,mailed,received,Added,25,28,,,,,,,,
WJER AM,Dover,OH,mailed,mailed,received,received,received,,,,,,,,
WJER FM,New Philadelphia,OH,mailed,mailed,received,received,received,,,,,,,,
WKDU,Philadelphia,PA,mailed,mailed,received,in for review,reviewing,,,,,,,,
WKIB,Cape Girardeau,MO,received,in for review,reviewing,Added,7,,,,,,,,
WKNC,Raleigh,NC,received,received,in for review,reviewing,reviewing,,,,,,,,
WKNY ,Kingston,NY,in for review,reviewing,Added,6,6,,,,,,,,Light Rotation: 1-3 spins per week 
WKYA,Greeenville,KY,mailed,received,received,received,received,,,,,,,,
WMNF,Tampa,FL,mailed,received,in for review,reviewing,Added,,,,,,,,
WMOA,Marietta,OH,in for review,reviewing,Added,5,10,,,,,,,,
WMPG,Portland,ME,mailed,received,in for review,reviewing,Added,,,,,,,,
WMQT,Marquette,MI,mailed,mailed,received,received,received,,,,,,,,
WMSE,Milwaukee,WI,reviewing,Added,Light,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week 
WMUL,Huntington,WV,received,in for review,reviewing,Added,Light,,,,,,,,
WNCW,Spindale,NC,mailed,received,received,in for review,reviewing,,,,,,,,
WNHU,West Haven,CT,mailed,mailed,received,received,in for review,,,,,,,,
WORG,Cope,SC,Added,5,5,5,5,,,,,,,,
WQXQ,Central City,KY,received,received,received,in for review,in for review,,,,,,,,
WRAL,Raleigh,NC,n/a,mailed,mailed,received,received,,,,,,,,submitted to upon request
WRAS,Atlanta,GA,received,received,in for review,reviewing,Added,,,,,,,,
WRCT,Pittsburgh,PA,mailed,mailed,received,received,in for review,,,,,,,,
WREZ,Metropolis,IL,reviewing,Added,7,7,7,,,,,,,,
WRFL ,Lexington,KY,mailed,mailed,received,received,in for review,,,,,,,,
WRGP,Miami,FL,received,received,in for review,reviewing,Added,,,,,,,,
WRIU,Kingston ,RI,mailed,received,in for review,reviewing,Added,,,,,,,,
WSBF,Clemson,SC,received,in for review,reviewing,Added,Light,,,,,,,,Light Rotation: 1-3 spins per week 
WSHC,Shepherdstown,WV,mailed,mailed,received,received,in for review,,,,,,,,
WSLC,Roanoke,VA,received,in for review,reviewing,Added,Light,,,,,,,,
WSOE,Elon,NC,received,in for review,reviewing,reviewing,Added,,,,,,,,Added to music library; available for play
WTUL,New Orleans,LA,mailed,received,in for review,reviewing,Added,,,,,,,,
WUAG,Greensboro,NC,received,in for review,reviewing,reviewing,Added,,,,,,,,Added to music library; available for play
WUOG,Athens ,GA,received,received,in for review,reviewing,reviewing,,,,,,,,
WUPX,Marquette,MI,received,received,reviewing,Added,Light,,,,,,,,
WUSC,Columbia,SC,received,in for review,reviewing,Added,Light,,,,,,,,
WUSM,Hattiesburg,MS,mailed,received,received,in for review,reviewing,,,,,,,,
WUTK,Knoxville,TN,mailed,mailed,received,received,in for review,,,,,,,,
WVFS,Tallahassee ,FL,in for review,reviewing,Added,Light,Light,,,,,,,,Light Rotation: 1-3 spins per week 
WVMP,Roanoke,VA,received,in for review,reviewing,Added,Light,,,,,,,,
WVUA,Tuscaloosa,AL,mailed,received,in for review,reviewing,Added,,,,,,,,
WVVS,Valdosta,GA,mailed,mailed,received,received,in for review,,,,,,,,
WXDU,Durham,NC,mailed,received,received,in for review,reviewing,,,,,,,,
WXYC,Chapel Hill,NC,mailed,received,received,in for review,reviewing,,,,,,,,
WYUL,Malone ,NY,Added,5,5,5,10,,,,,,,,
WZMB,Greenville,NC,mailed,mailed,received,received,in for review,,,,,,,,
