,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,spins,
KREZ,Paducah,KY,reviewing,Added,7,7,7,8,8,8,9,9,,,
KRLX,Northfield,MN,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
KRUX,Las Cruces,NM,in for review,reviewing,Added,Light,Light,Light,Light,Medium,Medium,Medium,,,Light Rotation: 1-3 spins per week 
KSCU,Santa Clara,CA,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
KSLC,McMinnville,OR,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
KSLU,Hammond,LA,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
KSPI,Stillwater,OK,received,received,received,in for review,in for review,in for review,reviewing,reviewing,reviewing,reviewing,,,
KTRL,Stephenville,TX,received,in for review,reviewing,Added,Medium,Medium,Medium,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KTRN,Pine Bluff,AR,mailed,received,in for review,reviewing,Added,2,2,2,3,3,,,
KTUH,Honolulu,HI,reviewing,Added,Light,Light,Light,Light,Medium,Medium,Medium,Medium,,,Medium Rotation: 3-5
KUFM,Missoula,MT,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
KUMM,Morris,MN,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
KURT,Stephenville,TX,in for review,reviewing,Added,Medium,Medium,Medium,Medium,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KVCU,Boulder,CO,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
KWMR,Point Reyes Station,CA,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
KWMU,St. Louis,MO,received,received,reviewing,Added,Light,Light,Light,Light,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
KWVA,Eugene,OR,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
KXUA,Fayetteville,AR,mailed,mailed,received,received,in for review,reviewing,Added,Library,Library,Library,,,Added to music library; available for play
KYEE,Alamagordo,NM,Added,3,3,3,4,4,4,4,7,7,,,
KYFM,Bartlesville,OK,in for review,reviewing,Added,7,7,7,15,15,15,28,,,
KYTE,Newport,OR,mailed,received,reviewing,reviewing,Added,3,3,4,4,4,,,
KZUM,Lincoln,NE,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,Light Rotation: 1-3 spins per week 
Normal 98.6,New Philadelphia,OH,mailed,received,received,received,received,received,received,received,received,received,,,
Radio Phoenix,Phoenix,AZ,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WALT,Davidson,NC,received,received,in for review,Added,Library,Library,Library,Library,Library,Library,,,Added to music library; available for play
WASU,Boone,NC,mailed,passed,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,looking for more alternative rock sound
WAWL,Chattanooga,TN,mailed,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WBAR,New York,NY,mailed,received,in for review,in for review,reviewing,Added,Light,Light,Light,Light,,,
WBCX,Gainesville,GA,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
WBER,Penfield,NY,received,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
WBJD,New Bern,NC,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WBNT,Oneida,TN,in for review,reviewing,Added,Library,Library,Library,Library,Library,Library,Library,,,Added to music library; available for play
WBOR,Brunswick,ME,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
WBSD,Burlington,WI,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WCBN,Ann Arbor,MI,received,received,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,,,Medium Rotation: 3-5 spins per week
WCDB,Albany,NY,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,Light,,,
WCHG,Dunmore,WV,received,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,,,
WCNI,New London,CT,mailed,mailed,Added,Medium,Medium,Medium,Medium,Medium,Medium,Medium,,,"""She has a real nice voice and her songs are very well played"""
WCWM,Williamsburg,VA,received,in for review,reviewing,Added,Light,Light,Light,Light,Light,Light,,,
WCYT,Fort Wayne,IN,mailed,received,in for review,reviewing,Added,Light,Light,Light,Medium,Medium,,,Medium Rotation: 3-5 spins per week 
WDCE,Richmond,VA,mailed,mailed,received,received,in for review,reviewing,Added,Light,Light,Light,,,
WDCG,Raleigh,NC,n/a,mailed,mailed,received,received,in for review,in for review,passed,n/a,n/a,,,not accepting independent submissions at this time
